Sl No	Question	Answer	Reference
19895	When will David thank Yahweh in the assembly?	He will thank Yahweh when his soul is rescued from their destructive attacks. 	Psalms 35:18-19
19896	What do David's enemies do instead of speaking peace?	They devise deceitful words against those who live in peace. 	Psalms 35:20-21
19897	What does David want Yahweh to do since he has seen David's troubles?	He wants Yahweh to not be silent, to not be far away, and to arouse and awake to his defense. 	Psalms 35:22
19898	What does David want Yahweh to do since he has seen David's troubles?	He wants Yahweh to not be silent, to not be far away, and to arouse and awake to his defense. 	Psalms 35:23
19899	Why does David say Yahweh should defend him?	He says Yahweh should defend him because of Yahweh's righteousness. 	Psalms 35:24-28
19900	How does sin speak in the heart of the wicked man?	Sin speaks like an oracle in the heart of the wicked man. 	Psalms 36:1
19901	How does the wicked man comfort himself?	He thinks that his sin will not be discovered and be hated. 	Psalms 36:2
19902	What are the wicked man's words like?	His words are sinful and deceitful. 	Psalms 36:3
19903	What does the wicked man do while he lies in bed?	He plans ways to sin while he lies in bed. 	Psalms 36:4
19904	What reaches to the heavens and to the clouds?	Yahweh's covenant faithfulness reached to the heavens, and his loyalty reaches to the clouds. 	Psalms 36:5
19905	What is Yahweh's justice like?	His justice is like the highest mountains and the deepest sea. 	Psalms 36:6
19906	Who takes refuge under the shadow of God's wings?	Humanity takes refuge under the shadow of God's wings. 	Psalms 36:7
19907	What will abundantly satisfy humanity?	The richness of the food of God's house will satisfy humanity. 	Psalms 36:8-9
19908	To whom does David ask God to extend his covenant faithfulness?	David asks God to extend God's covenant faithfulness fully to those who know God. 	Psalms 36:10
19909	What does David ask God not to let happen?	David asks God not to let the foot of the arrogant man come near him, and the hand of the wicked to drive him away. 	Psalms 36:11
19910	What will happen to the evildoers who have fallen?	They are knocked down and not able to get up. 	Psalms 36:12
19911	Why does David say to not be irritated because of evildoers?	He says to not be irritated because of evildoers because they will soon dry up as the grass and wither as the green plants. 	Psalms 37:1
19912	Why does David say to not be irritated because of evildoers?	He says to not be irritated because of evildoers because they will soon dry up as the grass and wither as the green plants. 	Psalms 37:2-3
19913	Why does David say to delight in Yahweh?	He says to delight in Yahweh so he will give you the desires of your heart. 	Psalms 37:4
19914	Why does David say to trust in Yahweh?	He says to trust in Yahweh so that he will act on your behalf, display your justice like the daylight, and your innocence like the day at noon. 	Psalms 37:5
19915	Why does David say to trust in Yahweh?	He says to trust in Yahweh so that he will act on your behalf, display your justice like the daylight, and your innocence like the day at noon. 	Psalms 37:6
19916	What does David say we should do before Yahweh?	He says to be still before him and wait patiently for him, and to not worry if someone tries to make his evil ways succeed. 	Psalms 37:7
19917	Why does David say to not be angry and frustrated or to worry about evildoers?	They will be cut off and disappear, but those who wait for Yahweh will inherit the land. 	Psalms 37:8
19918	Why does David say to not be angry and frustrated or to worry about evildoers?	They will be cut off and disappear, but those who wait for Yahweh will inherit the land. 	Psalms 37:9
19919	Why does David say to not be angry and frustrated or to worry about evildoers?	They will be cut off and disappear, but those who wait for Yahweh will inherit the land. 	Psalms 37:10
19920	What will happen to the meek?	They will inherit the land and delight in great prosperity. 	Psalms 37:11-13
19921	What will happen to the wicked who have tried to kill those who are upright?	The swords of the wicked will pierce their own hearts and their bows will be broken. 	Psalms 37:14
19922	What will happen to the wicked who have tried to kill those who are upright?	The swords of the wicked will pierce their own hearts and their bows will be broken. 	Psalms 37:15
19923	Why is the little that the righteous have better than the abundance of many wicked people?	The little that the righteous have is better because the arms of the wicked people will be broken, but Yahweh will support the righteous people. 	Psalms 37:16
19924	Why is the little that the righteous have better than the abundance of many wicked people?	The little that the righteous have is better because the arms of the wicked people will be broken, but Yahweh will support the righteous people. 	Psalms 37:17
19925	How will Yahweh provide for the blameless?	The blameless will not be ashamed when times are bad, they will have enough to eat, and their heritage will be forever. 	Psalms 37:18
19926	How will Yahweh provide for the blameless?	The blameless will not be ashamed when times are bad, they will have enough to eat, and their heritage will be forever. 	Psalms 37:19
19927	What will happen to Yahweh's enemies?	His enemies will be like the glory of the pastures which will be consumed and disappear in the smoke. 	Psalms 37:20-22
19928	What is the benefit of having Yahweh establish a man's steps?	Even though he stumbles, he will not fall down for Yahweh is holding him with his hand. 	Psalms 37:23
19929	What is the benefit of having Yahweh establish a man's steps?	Even though he stumbles, he will not fall down for Yahweh is holding him with his hand. 	Psalms 37:24
19930	What has David not seen happen to the righteous person?	He has not seen that the righteous person abandoned or his children begging for bread. 	Psalms 37:25
19931	How does the righteous person act?	He is gracious all the day long and lends. 	Psalms 37:26
19932	What should people do to be safe forever?	They should turn away from evil and do what is right. 	Psalms 37:27-28
19933	What will the righteous inherit?	They will inherit the land and live there forever. 	Psalms 37:29
19934	What does the mouth of the righteous person speak?	The mouth of the righteous person speaks wisdom and increases justice. 	Psalms 37:30-31
19935	What will happen to the righteous person whom the wicked person seeks to kill?	Yahweh will not abandon him into the wicked person's hand nor condemn him when he is judged. 	Psalms 37:32
19936	What will happen to the righteous person whom the wicked person seeks to kill?	Yahweh will not abandon him into the wicked person's hand nor condemn him when he is judged. 	Psalms 37:33
19937	What will happen to those who wait for Yahweh?	Yahweh will raise them up to possess the land. 	Psalms 37:34
19938	What will happen to the wicked and terrifying person?	He will spread out like a green tree in its native soil, but later he will not be found. 	Psalms 37:35
19939	What will happen to the wicked and terrifying person?	He will spread out like a green tree in its native soil, but later he will not be found. 	Psalms 37:36-38
19940	What does Yahweh do for the righteous?	Yahweh protects them in time of trouble, and helps and rescues them. 	Psalms 37:39
19941	What does Yahweh do for the righteous?	Yahweh protects them in time of trouble, and helps and rescues them. 	Psalms 37:40
19942	What does David ask Yahweh not to do in his anger?	He asks Yahweh not to rebuke him in his anger, or punish him in his wrath. 	Psalms 38:1-2
19943	Why does David say, "There is no health in my bones?"	He says there is no health in his bones because of his sin. 	Psalms 38:3
19944	What has overwhelmed David?	His iniquities have overwhelmed him. 	Psalms 38:4-5
19945	What does David do all day long?	He goes about mourning all day long. 	Psalms 38:6
19946	With what is David overcome?	He is overcome with shame. 	Psalms 38:7-8
19947	What does David say the Lord understands?	He says the Lord understands his heart's deepest yearnings. 	Psalms 38:9-10
19948	Why do David's friends and companions shun him?	David's friends and companions shun him because of his condition. 	Psalms 38:11-15
19949	What does David fear his enemies will do if his foot slips?	If David's foot slips, his enemies will do terrible things to him. 	Psalms 38:16-19
19950	How do his enemies repay the good he has done?	They repay David evil for good and they hurl accusations at him. 	Psalms 38:20
19951	What names does David use when he asks Yahweh for help?	He calls him, "Yahweh", "God", "Lord", and "my salvation." 	Psalms 38:21
19952	What names does David use when he asks Yahweh for help?	He calls him, "Yahweh", "God", "Lord", and "my salvation." 	Psalms 38:22
19953	What did David decide he will do?	David decided to watch what he says and he to muzzle his mouth while in the presence of an evil man. 	Psalms 39:1
19954	What happened when David kept silent and kept back his words from saying anything good?	David's pain grew worse and his heart became hot like a fire. 	Psalms 39:2
19955	What happened when David kept silent and kept back his words from saying anything good?	David's pain grew worse and his heart became hot like a fire. 	Psalms 39:3
19956	What does David want to know about his life?	David wants to know when will his life end, the extent of his days, and how transient he is. 	Psalms 39:4
19957	What does David say his life is like before Yahweh?	David's lifetime is like nothing before Yahweh. 	Psalms 39:5
19958	What does everyone hurry about to do?	Everyone who hurries about to accumulate riches. 	Psalms 39:6
19959	What is David's only hope?	The Lord is David's only hope. 	Psalms 39:7
